"id","question","option_1","option_2","option_3","option_4","correct"
"1","A színlelt szerződés","Hatálytalan","Semmis","A szerződő feleket köti","Megtámadható","2"
"2","Az érvénytelen szerződés","Nem alkalmas semmilyen joghatás kiváltására","Létre sem jön","Érvényessé válik akkor, ha azt az egyik fél kívánja","Semmis vagy megtámadható lehet","4"
"3","A személyes adatok kezelésével kapcsolatos érintetti kérelmek","Egy évig terjeszthetők csak","Fő szabály szerint egy éven belül elintézendők és megválaszolandók","Csak írásban érvényesek","Fő szabály szerint egy hónapon belül elintézendők és   megválaszolandók","4"
"4","A szerződés érvénytelensége  esetén","A szerződés létre sem jön","A  szerződésszegés  általános  jogkövetkezményeit  kell  alkalmazni","A szerződés teljesítése érdekében a felek köteles együttműködni","A szerződés nem alkalmas a célzott joghatás kiváltására","4"
"5","A tapadó kár","a szolgáltatás tárgyában bekövetkező kár","","","",""
"6","A választottbírósági megállapodás","Csak írásban érvényes","Csak rendes bírósági engedéllyel érvényes","A rendes bíróságokat nem köti","Nagyobb  értékű  szerződéseknél  kötelező","1"
"7","A szerződés létrejön","Ha a felek az érvénytelen szerződést érvényesség nyilvánítják","Ha a felek a szerződést érintő valamennyi lényeges kérdésben   megállapodtak","Ha a felek a szerződést érintő valamennyi kérdésben megállapodtak","Ha a felek a szerződést érintő lényeges kérdések több mint felében megállapodtak","2"
"8","A jog","Csak akkor hatékony, ha bünteti a jogsértést","Olyan társadalmi normarendszer, amely kizárólag írásba foglalt normákat   tartalmaz","Olyan értékközvetítő normarendszer, amely a társadalom tagjainak   magatartását kívánja befolyásolni","Csak kompenzációra képes, prevencióra soha","3"
"9","A Remény Kft., mint eladó és Gál Ottó műkincskereskedő egyéni vállalkozó,  mint vevő adásvételi szerződést kötöttek egymással. A szerződés alapján Gál úr  egy ismeretlen művész által készített kisplasztikát vásárolt 800.000, - HUF  vételárért. A vételárat a vevő a szerződéskötéskor egyösszegben  készpénzben kifizette. Gál úr a szerződéskötés után három héttel a festményt  harmadik személy részére tovább kívánta értékesíteni. Ekkor azonban azzal  szembesült, hogy a piacon a kisplasztikáért 500.000, - HUF összegnél  magasabb vételárat senki sem kínál. Erre tekintettel a Remény Kft-vel  kötöttszerződéstől elállt és – a kisplasztika egyidejű visszaadásának  felajánlása mellett – a 800.000, - HUF összegű vételárat visszakövetelte az  eladótól.","Jogos volt a követelése","Nem volt jogos a követelése","","","2"
"10","János és József jó barátok. József épp arról mesél Jánosnak, hogy   használt laptopot szeretne venni. János erre rögtön említi is barátjának,  hogy ő épp most vett egy új gépet, és a régit eladná. József nagyon  megörül, és alaposan kikérdezi barátját a gép típusáról, állapotáról,  életkoráról, műszaki adatairól. Megállapodnak, hogy József 50.000 Ft- ért megveszi a laptop-ot. Megegyeznek abban is, hogy a gépért  másnap elmegy barátjához. József másnap fel is keresi Jánost, jelezve,  hogy elhozta a pénzt, és vinné haza a laptopot. János erre közli, hogy  meggondolta magát. József válaszában arra hivatkozik, hogy tegnap  megállapodtak. János szerint azonban közöttük szerződés nem jött létre,  hiszen a laptopot nem adta át.","János szerződésszegő magatartást tanúsít azzal, hogy a laptopot nem   adta át a szóban megállapodottak szerint","János és József között szerződés nem jött létre mert János a laptopot nem   adta át.","","","1"
